expr,pub_date,ref_date,value
bdfm,2008-01-01,1992-12-01,5.64000143403029
bdfm,2008-01-01,1993-03-01,4.07131182815374
bdfm,2008-01-01,1993-06-01,3.10834489796374
bdfm,2008-01-01,1993-09-01,4.18507527650954
bdfm,2008-01-01,1993-12-01,4.11987967790797
bdfm,2008-01-01,1994-03-01,4.58835598737649
bdfm,2008-01-01,1994-06-01,4.63813360611126
bdfm,2008-01-01,1994-09-01,4.6050251200001
bdfm,2008-01-01,1994-12-01,5.45258122656116
bdfm,2008-01-01,1995-03-01,3.87384580971137
bdfm,2008-01-01,1995-06-01,2.39431723869262
bdfm,2008-01-01,1995-09-01,3.56506171260644
bdfm,2008-01-01,1995-12-01,2.98068239500015
bdfm,2008-01-01,1996-03-01,3.44229598102871
bdfm,2008-01-01,1996-06-01,4.29327342445699
bdfm,2008-01-01,1996-09-01,3.45996859182204
bdfm,2008-01-01,1996-12-01,3.97154433783049
bdfm,2008-01-01,1997-03-01,4.10974162298985
bdfm,2008-01-01,1997-06-01,3.67357991484463
bdfm,2008-01-01,1997-09-01,5.53219629952444
bdfm,2008-01-01,1997-12-01,5.54168856133301
bdfm,2008-01-01,1998-03-01,3.07168414015615
bdfm,2008-01-01,1998-06-01,4.9403581052631
bdfm,2008-01-01,1998-09-01,3.63660393396553
bdfm,2008-01-01,1998-12-01,3.82642018842846
bdfm,2008-01-01,1999-03-01,4.09555214237344
bdfm,2008-01-01,1999-06-01,4.00824546259933
bdfm,2008-01-01,1999-09-01,4.18902576064062
bdfm,2008-01-01,1999-12-01,4.0968969733959
bdfm,2008-01-01,2000-03-01,4.4264413263299
bdfm,2008-01-01,2000-06-01,4.61808827989403
bdfm,2008-01-01,2000-09-01,1.47596886389569
bdfm,2008-01-01,2000-12-01,2.66155577461772
bdfm,2008-01-01,2001-03-01,-0.823800463229059
bdfm,2008-01-01,2001-06-01,-0.843013563121479
bdfm,2008-01-01,2001-09-01,-0.973315170317857
bdfm,2008-01-01,2001-12-01,-2.03037734708861
bdfm,2008-01-01,2002-03-01,1.79214967472675
bdfm,2008-01-01,2002-06-01,2.95965482517754
bdfm,2008-01-01,2002-09-01,2.63949441140058
bdfm,2008-01-01,2002-12-01,1.41212419320647
bdfm,2008-01-01,2003-03-01,2.25199643439653
bdfm,2008-01-01,2003-06-01,0.0493230242825358
bdfm,2008-01-01,2003-09-01,3.16406876070577
bdfm,2008-01-01,2003-12-01,4.20448769569536
bdfm,2008-01-01,2004-03-01,4.19402498230741
bdfm,2008-01-01,2004-06-01,3.19798376272342
bdfm,2008-01-01,2004-09-01,2.65001538717878
bdfm,2008-01-01,2004-12-01,4.60981870971708
